City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,mocuba,-16.8392,36.9856,26.64,74,99,2.11,MZ,1675018550
225,tucumcari,35.1717,-103.725,6.82,43,4,2.46,US,1675018551
226,halifax,44.6453,-63.5724,3.16,64,100,2.68,CA,1675018497
227,arraial do cabo,-22.9661,-42.0278,26.92,78,40,3.09,BR,1675018551
228,sao filipe,14.8961,-24.4956,21.88,71,49,9.07,CV,1675018552
229,kieta,-6.2167,155.6333,26.27,85,100,1.64,PG,1675018553
230,mineiros,-17.5694,-52.5511,26.83,63,55,2.15,BR,1675018555
231,brae,60.3964,-1.353,4.72,76,55,16.98,GB,1675018556
232,sira,13.7453,76.9092,19.91,66,98,3.31,IN,1675018556
233,eyl,7.9803,49.8164,23.71,74,29,9.24,SO,1675018557
234,ostersund,63.1792,14.6357,2.56,87,75,12.07,SE,1675018557
235,san patricio,28.017,-97.5169,24.39,82,100,4.15,US,1675018558
236,espita,21.0167,-88.3167,30.99,44,37,3.34,MX,1675018559
237,vestmanna,62.1564,-7.1664,3.51,81,75,10.8,FO,1675018559
238,corral nuevo,18.1146,-95.1154,27.62,62,55,2.23,MX,1675018560
239,qurayyat,31.3318,37.3428,15.1,36,0,0.0,SA,1675018561
240,atotonilco el grande,20.2833,-98.6667,21.55,30,1,3.3,MX,1675018562
241,pampa,35.5362,-100.9599,-7.92,93,100,3.6,US,1675018563
242,aklavik,68.2191,-135.0107,-12.0,85,75,2.06,CA,1675018564
243,oussouye,12.485,-16.5469,25.74,29,100,4.79,SN,1675018564
244,jalu,29.0331,21.5482,14.0,36,6,4.6,LY,1675018565
245,mabaruma,8.2,-59.7833,27.85,46,36,3.04,GY,1675018565
246,ambilobe,-13.2,49.05,24.99,89,64,0.94,MG,1675018566
247,richards bay,-28.783,32.0377,20.79,77,100,3.5,ZA,1675018566
248,bom jesus da lapa,-13.255,-43.4181,28.53,56,98,2.31,BR,1675018567
249,clyde river,70.4692,-68.5914,-28.68,91,100,2.0,CA,1675018567
250,kalabo,-14.97,22.6814,19.88,91,100,2.37,ZM,1675018568
251,tupik,54.4253,119.9327,-32.1,99,55,0.96,RU,1675018568
252,khuzhir,53.1939,107.3397,-10.38,89,100,1.0,RU,1675018569
253,port blair,11.6667,92.75,27.02,74,40,4.63,IN,1675018569
254,cefalu,38.0386,14.0229,11.97,77,100,2.24,IT,1675018570
255,barrow,71.2906,-156.7887,-18.26,99,94,4.03,US,1675018570
256,bengkulu,-3.8004,102.2655,23.7,92,100,2.73,ID,1675018571
257,killybegs,54.6333,-8.45,7.84,63,99,10.13,IE,1675018331
258,yerbogachen,61.2767,108.0108,-14.82,97,100,1.9,RU,1675018572
259,sovetskiy,61.3614,63.5842,-13.97,95,98,2.43,RU,1675018573
260,karatau,43.1667,70.4667,-9.06,87,14,1.43,KZ,1675018573
261,general pico,-35.6566,-63.7568,33.94,21,0,5.82,AR,1675018574
262,ancud,-41.8697,-73.8203,18.85,77,32,4.71,CL,1675018574
263,ardmore,34.1743,-97.1436,-2.12,86,100,5.66,US,1675018480
264,katsuura,35.1333,140.3,7.01,65,55,7.51,JP,1675018576
265,haines junction,60.7522,-137.5108,-15.49,99,98,0.31,CA,1675018576
266,waitati,-45.75,170.5667,17.11,64,39,1.17,NZ,1675018577
267,tiznit,29.5833,-9.5,11.31,51,0,1.04,MA,1675018578
268,jardim,-21.4803,-56.1381,31.67,48,100,3.54,BR,1675018578
269,sexsmith,55.35,-118.786,-20.36,71,75,0.0,CA,1675018579
270,tazovskiy,67.4667,78.7,-28.2,100,100,1.53,RU,1675018580
271,ariquemes,-9.9133,-63.0408,23.07,96,100,0.47,BR,1675018580
272,severo-kurilsk,50.6789,156.125,-1.99,95,100,15.07,RU,1675018581
273,marzuq,14.4,46.4667,16.08,56,10,0.56,YE,1675018438
274,jibuti,11.5,42.5,21.35,75,29,8.48,DJ,1675018582
275,songling,31.1933,120.7176,3.75,57,0,1.85,CN,1675018583
276,dubovskoye,47.4092,42.7575,1.63,75,100,4.92,RU,1675018584
277,morden,49.1919,-98.1014,-21.09,64,84,4.63,CA,1675018366
278,oranjemund,-28.55,16.4333,16.7,88,0,1.52,NA,1675018585
279,port elizabeth,-33.918,25.5701,18.16,69,20,4.12,ZA,1675018586
280,suzhou,31.3114,120.6181,3.56,56,0,1.89,CN,1675018587
281,palana,59.1167,159.9667,-5.31,87,99,9.95,RU,1675018588
282,iqaluit,63.7506,-68.5145,-35.73,73,75,1.03,CA,1675018588
283,comodoro rivadavia,-45.8667,-67.5,28.92,37,0,6.69,AR,1675018589
284,talcahuano,-36.7167,-73.1167,22.82,60,0,6.69,CL,1675018518
285,coos bay,43.3665,-124.2179,4.06,80,0,6.42,US,1675018590
286,caernarfon,53.1413,-4.2702,10.9,45,100,6.17,GB,1675018590
287,miranda,3.2499,-76.2281,29.07,46,93,2.13,CO,1675018591
288,ketchikan,55.3422,-131.6461,-0.01,36,73,1.65,US,1675018591
289,santa lucia,27.9117,-15.5407,11.62,72,75,4.12,ES,1675018592
